Region,Target,Strategy,Model,Features Used,Features Abbreviated,MSE,R²,MAE,RMSE,MAPE,WAPE
Asia & Oceania,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1067.12,0.49,22.26,32.67,33.6,25.16
Asia & Oceania,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1307.88,0.44,22.41,36.16,14.19,15.74
Europe,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2714.45,0.14,42.71,52.1,27.64,22.05
Europe,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3084.92,0.29,41.71,55.54,21.28,17.7
Africa,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,551.48,-2.34,15.38,23.48,18.74,20.72
Africa,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,487.48,-2.1,18.29,22.08,20.64,17.67
Central and South America,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,356.37,-2.37,15.64,18.88,22.51,20.88
Central and South America,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,180.86,-3.47,10.87,13.45,10.62,10.24
Northern America,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,2742.27,-0.8,46.91,52.37,26.27,27.74
Northern America,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,12593.56,-5.62,108.43,112.22,39.25,39.87
Total,Residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,1486.3379999999997,-0.976,28.579999999999995,35.9,25.752000000000002,23.31
Total,Non-residential EUI (kWh/m2/year),All-Domain,Linear Regression,"HDD_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index",HDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income,3530.94,-2.092,40.342,47.89,21.196,20.244
