,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,776.098,27.859,18.216,0.631,18.0,20.6
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,225.248,15.008,8.476,0.904,5.0,6.0
2,Europe,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,2154.58,46.417,30.981,0.313,19.4,16.0
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,3227.417,56.81,33.485,0.257,13.0,14.2
4,Africa,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,175.173,13.235,7.019,-0.062,8.5,9.5
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,155.558,12.472,4.951,0.011,8.2,4.8
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,25.273,5.027,3.29,0.761,4.1,4.4
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,16.559,4.069,3.223,0.591,3.0,3.0
8,Northern America,Residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1269.264,35.627,28.777,0.165,15.4,17.0
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,1318.062,36.305,29.39,0.307,9.9,10.8
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,XGBRegressor,"n_estimators=100, max_depth=6, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, min_child_weight=1, random_state=42, objective=reg:squarederror","hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg",HDD | CDD | GDP | URB | Lat | Long | Paris | HDI | EDU | Income | Temp | Dew,975.987,31.241,23.816,0.536,31.7,26.9
