Residential EUI (kWh/m2/year),Non-residential EUI (kWh/m2/year),Average
0.036560670693685786,0.6051490508647299,0.32085486077920783
0.382813275557471,0.08877996691753566,0.23579662123750333
0.27655504383837154,0.051666933440161926,0.16411098863926674
0.03865890609322272,0.09200782467452902,0.06533336538387587
0.030359604091921323,0.04774938934769167,0.0390544967198065
0.039995495784056236,0.020058211159719397,0.030026853471887816
0.051842677629911425,0.0014721880738216085,0.026657432851866517
0.02502742364039206,0.018513357904098242,0.02177039077224515
0.0201265902366226,0.010879867110112105,0.015503228673367352
0.01843238353666816,0.005060549269456312,0.011746466403062237
0.015872728849597242,0.005923635969288255,0.010898182409442748
0.00763013332218611,0.007024902245506671,0.007327517783846391
0.007810669395167736,0.005242051749279491,0.006526360572223614
0.008754667396436155,0.00032066552825368204,0.0045376664623449185
0.006075783540899266,0.002002051851131581,0.004038917696015424
0.0027098710680804315,0.003576956989462051,0.0031434140287712412
0.002662562227345562,0.0033368070492116766,0.002999684638278619
0.0028925393794978415,0.002588279761150505,0.0027404095703241734
0.0027288915633566363,0.0027070410057806324,0.0027179662845686343
0.003064569927933464,0.002370785584639896,0.00271767775628668
0.0019378783158679833,0.002762135952907982,0.002350007134387983
0.0011333451550580855,0.0032488944432790836,0.0021911197991685847
0.0023306191880085874,0.0017347962927932792,0.002032707740400933
0.0021438607154060764,0.0017584756582917018,0.001951168186848889
0.0014626842026659959,0.002096907533882833,0.0017797958682744144
0.001626911882153018,0.0016269216868158216,0.0016269167844844197
0.0008773543463350608,0.0022819074110530147,0.0015796308786940377
0.001485694791571141,0.0015201774474695945,0.0015029361195203679
0.0013094696360432061,0.0016915935205752376,0.001500531578309222
0.0007948464842518693,0.00188514141511879,0.0013399939496853296
0.0016747034537442373,0.0009622185534602006,0.001318461003602219
0.0015165153386443389,0.0007300740297541923,0.0011232946841992655
0.0009388858879455513,0.0012045178798590049,0.0010717018839022782
0.0001927428294815455,6.572167917893659e-05,0.00012923225433024104
