,Region,Target,Strategy,Model,Model Details,Features Used,Features Abbreviated,MSE,RMSE,MAE,R²,MAPE,WAPE
0,Asia & Oceania,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,1065.089,32.636,23.598,0.508,30.2,26.9
1,Asia & Oceania,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,626.721,25.034,18.641,0.549,14.0,13.7
2,Europe,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,10941.239,104.6,65.368,-2.487,51.2,33.8
3,Europe,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,13180.3,114.805,69.799,-2.035,44.3,29.6
4,Africa,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,194.386,13.942,10.775,-0.179,13.8,14.5
5,Africa,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,137.589,11.73,5.566,0.125,8.5,5.4
6,Central and South America,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,72.734,8.528,6.687,0.31,8.4,8.9
7,Central and South America,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,66.915,8.18,7.102,-0.556,6.7,6.7
8,Northern America,Residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,2220.395,47.121,41.27,-0.461,28.2,24.4
9,Northern America,Non-residential EUI (kWh/m2/year),within_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,27562.556,166.02,164.945,-13.497,61.6,60.7
10,Asia & Oceania,Residential EUI (kWh/m2/year),cross_domain,LinearRegression,No regularization,"hdd_total_year, cdd_total_year, GDP_per_capita, Urbanization_Rate_2022, latitude, longitude, Paris_Agreement, Subnational HDI, Educational index, Income index, 2m_temperature_2023_avg, 2m_dewpoint_temperature_2023_avg, total_precipitation_2023, population_density, pca_result, Cluster_10_0, Cluster_10_1, Cluster_10_2, Cluster_10_3, Cluster_10_4, Cluster_10_5, Cluster_10_6, Cluster_10_7, Cluster_10_8, Cluster_10_9",Heating Degree Days | Cooling Degree Days | GDP per Capita | Urbanization Rate | Latitude | Longitude | Paris Agreement | Human Development Index | Educational Index | Income Index | Avg Temperature | Avg Dewpoint Temp | Precipitation | Population Density | First Principal Component (PCA) | Fuzzy C-means Image Cluster 0 | Fuzzy C-means Image Cluster 1 | Fuzzy C-means Image Cluster 2 | Fuzzy C-means Image Cluster 3 | Fuzzy C-means Image Cluster 4 | Fuzzy C-means Image Cluster 5 | Fuzzy C-means Image Cluster 6 | Fuzzy C-means Image Cluster 7 | Fuzzy C-means Image Cluster 8 | Fuzzy C-means Image Cluster 9,1153.768,33.967,26.533,0.467,42.2,30.3
